URL;CATEGORIA
https://disneylatino.com/*;Shopping
https://eduec9.wixsite.com/mysite;Phishing
https://firebasestorage.googleapis.com/v0/b/uuyrwwewe.appspot.com/o/index.html?alt=media&token=c0760391-c6c9-4188-9a70-eacfb1bd5811;Phishing
https://fom.li/f/aDWPwDKqW5;Phishing
https://gaming.amazon.com/intro;Shopping
https://helputpleduecxxxhlpdsk.weebly.com/*;Shopping
https://hjuiobopde-ptezd.formstack.com/forms/ve;Business and Economy
https://hlpdskxxxhlpxxxcm.weebly.com;Phishing
https://hsj2202.wixsite.com/utpll;Phishing
https://ingresodeusuarios.mobi:2600/;Phishing
https://johntest.tunnel555.com/webmail.utpl.edu.ec.html;Business and Economy
https://magistv.net/app.html;Streaming Media
https://microsoftnett.webcindario.com/*;Phishing
https://mscloud-l.webcindario.com/*;Phishing
https://na01.safelinks.protection.outlook.com/*;Phishing
https://netflix.com/ec/*;Streaming Media
https://new.express.adobe.com/webpage/exOEYVUzJ3rMQ;Phishing
https://pelisplushd.net/*;Streaming Media
https://poki.com/es;Games
https://rimac.com.br/hjem/Heimat/index.php;Business and Economy
https://saibhyastudio.com/sri/*;Phishing
https://sites.google.com/view/utplsteps;Phishing
https://sts-utpl-edu-ec-adfs.weebly.com/*;Phishing
https://uptl.squarespace.com/*;Phishing
https://utp119478949.weebly.com/*;Phishing
https://utp64675476.weebly.com/*;Phishing
https://utp663563736863.weebly.com/*;Phishing
https://utpl.squarespace.com/*;Phishing
https://utpledu.weebly.com/*;Phishing
https://utpl-edu-ec.onthehub.com/*;Phishing
https://utpleduec1.wixsite.com/eduec;Phishing
https://utpleduec11.wixsite.com/eduec;Phishing
https://utplutpl220.wixsite.com/utpl;Phishing
https://utplutpl22022.wixsite.com/utpl;Phishing
https://verificar.correosdelecuador.gob.c2171574.ferozo.com/portal/70cba/*;Phishing
https://wa.me/447361624301;Phishing
https://www.1001juegos.com/*;Games
https://www.amazon.com/-/es/b?ie=UTF8&node=15195001011;Shopping
https://www.amazongames.com/es-es/games;Games
https://www.directvgo.com/ec/*;Business and Economy
https://www.disneyplus.com/*;Streaming Media
https://www.disneyplus.com/es-ec;Streaming Media
https://www.hbo.com/*;Shopping
https://www.hbomax.com/*;Streaming Media
https://www.hulu.com/welcome;Streaming Media
https://www.juegos.com/*;Games
https://www.netflix.com/*;Streaming Media
https://www.netflix.com/ec/*;Streaming Media
https://www.primevideo.com/;Streaming Media
https://www.primevideo.com/*;Streaming Media
https://www.verif22.com/*;Phishing
www.apple.com/tv/;Streaming Media
www.hbomax.com;Streaming Media
www.paramountplus.com;Streaming Media
www.peacocktv.com;Streaming Media
www.tmz.com;Shopping
www.eonline.com;Shopping
www.people.com;Shopping
www.variety.com;Shopping
www.hollywoodreporter.com;Shopping
www.twitch.tv;Games
www.steampowered.com;Games
www.epicgames.com;Games
www.roblox.com;Games
www.ign.com;Games
www.forbes.com;Business and Economy
www.businessinsider.com;Business and Economy
www.bloomberg.com;Business and Economy
www.economist.com;Business and Economy
www.ft.com (Financial Times);Business and Economy
